Facility Id,FRS Id,Reported City,Reported State,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
1010157,110055519577,GREEN RIVER,WY,SWEETWATER COUNTY,41.50926,-109.47323,211120,W-ONSH,"71,346.69","89,424.23","97,116.49","98,775.99","116,397.48","124,203.79","148,539.89","212,090.19","232,207.29"
1009319,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,25.00,25.00
1009320,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,25.00,25.00
1009317,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,74.75,74.75
1008696,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,199.25,199.25
1009318,110055516320,Midland,TX,MIDLAND,31.95953,-102.13871,211111,W-ONSH,,,,,,,,896.75,896.75
1008694,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,"5,305.50","5,305.50"
1008695,110037251381,Midland,TX,MIDLAND COUNTY,31.99692,-102.08085,211111,W-ONSH,,,,,,,,25.00,25.00
1012013,110067543652,Denver,CO,,39.632853,-104.897636,211111,W-ONSH,,,,"126,957.77","80,233.79",,,,
1010350,110070082073,Houston,TX,HARRIS COUNTY,29.960188,-95.558799,211111,W-ONSH,,,,"31,577.09","93,758.34","123,751.42","105,894.55",,
1012945,,Covington,LA,,30.4587407,-90.1307797,211120,W-ONSH,"91,036.52","81,738.00","99,678.61",,,,,,
1012022,110067543581,Lafayette,LA,,30.165775,-92.059033,211111,W-ONSH,,,,"36,789.24","58,776.83",,,,
1008330,110055513010,Houston,TX,HARRIS COUNTY,29.9601879,-95.5587992,211111,W-ONSH,,,,,,0.00,,"31,343.66","41,291.62"
1008576,110040414851,Dallas,TX,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,639.70,600.10,"28,790.57","66,263.30","32,984.40","33,278.13","49,736.58","78,287.61","28,703.17"
1012878,,Addison,TX,,32.9654778,-96.8297403,211111,W-ONSH,,,"138,973.00","136,794.46",,,,,
1013339,,Oklahoma City,OK,,36.94208,-99.213,211120,W-ONSH,"485,102.38","622,761.61",,,,,,,
1013732,,Oklahoma City,OK,,,,211130,W-ONSH,"108,966.59",,,,,,,,
1013227,,Houston,TX,,36.2805,-97.7491,211120,W-ONSH,"73,303.53","118,069.64",,,,,,,
1008327,110055512985,Houston,TX,HARRIS COUNTY,29.960188,-95.558799,211111,W-ONSH,,,,,,0.00,,"2,110.55","162,720.96"
1008029,110055512020,Enid,OK,GARFIELD,36.39177,-97.89629,211111,W-ONSH,,,"3,507.50","44,298.06","16,501.45","37,892.98","45,441.48","43,608.73","42,604.44"
1013751,,Oklahoma City,OK,,,,211120,W-ONSH,"25,665.41",,,,,,,,
1008577,110040414851,Dallas,TX,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,"94,682.48","81,242.16","37,319.81","31,942.34","106,226.72","120,896.16","99,420.20","85,725.95",
1008642,110040414851,Dallas,TX,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,"426,825.10","115,370.24","83,385.86","51,783.14","40,508.22","30,171.85",,,
1008270,110055512805,Houston,TX,HARRIS COUNTY,29.960188,-95.558799,211130,W-ONSH,"342,510.10","339,347.02","375,388.22","375,558.85","644,986.90","698,674.04","846,216.63","663,919.95","539,847.95"
1008329,110055513001,Houston,TX,HARRIS COUNTY,29.9601879,-95.5587992,211111,W-ONSH,,,,,,0.00,,"61,589.12","76,995.27"
1008328,110055512994,Houston,TX,HARRIS COUNTY,29.960188,-95.558799,211111,W-ONSH,,,,"1,582.85","1,561.70","1,717.20","51,486.09","70,219.10","86,371.85"
1008087,110045438184,Denver,CO,DENVER COUNTY,39.7466,-104.99159,211120,W-ONSH,"73,919.58","27,088.16","50,603.44","37,042.49","51,063.03","34,429.52","44,202.06",,
1010289,110002985360,Denver,CO,DENVER COUNTY,39.7541032,-105.0002242,211111,W-ONSH,,,,,,,"234,144.90","153,374.40","40,619.28"
1013677,,Bridgeport,TX,,,,211130,W-ONSH,"57,707.13",,,,,,,,
1013657,,Bridgeport,TX,,,,211130,W-ONSH,"219,032.31",,,,,,,,
1007101,110043812657,Anchorage,AK,KENAI PENINSULA BOROUGH,61.200142,-151.018109,211111,W-ONSH,,,,,"72,944.26","109,348.86","146,735.44","143,734.17","200,629.87"
1008442,110055512529,Denver,CO,Denver,39.7483,-104.9874,211111,W-ONSH,,,,,,0.00,"37,829.90","32,805.65","36,119.05"
1008164,110055512529,Denver,CO,Denver,39.7483,-104.9874,211111,W-ONSH,,,,,,0.00,"36,437.32","63,872.50","72,173.40"
1008308,,Newhall,CA,,34.3677169,-118.4747173,211120,W-ONSH,"210,647.92","225,095.59","232,079.82","233,059.43","240,384.98","42,023.90",,,
1008166,110055512529,Denver,CO,Denver,39.7483,-104.9874,211111,W-ONSH,,,,,,0.00,"60,553.68","30,425.56","42,460.31"
1008163,110055512529,Bakersfield,CA,,39.7483,-104.9874,211120,W-ONSH,"1,191,599.31","1,071,750.38","1,194,016.47",,,0.00,"1,197,757.49","843,807.39","662,528.74"
1008167,110055512529,Denver,CO,,39.7483,-104.9874,211120,W-ONSH,"118,302.43","123,342.88","119,872.84",,,0.00,"111,370.54","103,794.06","83,163.27"
1008165,110055512529,Bakersfield,CA,,39.7483,-104.9874,211130,W-ONSH,"45,001.74","45,317.64","41,394.35","47,900.55","66,872.24","62,688.05","96,831.95","67,200.65","92,282.15"
1009356,110028136700,Denver,CO,DENVER COUNTY,39.74945,-104.99266,211111,W-ONSH,,,,,,0.00,"208,057.77","482,978.36","439,460.75"
1009358,110028136700,Denver,CO,DENVER COUNTY,39.74945,-104.99266,211111,W-ONSH,,,,,,71.40,"50,488.03","29,280.05",
1009360,110028136700,Denver,CO,DENVER COUNTY,39.74945,-104.99266,211111,W-ONSH,,,,,,,,"77,290.11","72,099.75"
